,global_id,ID,SculpName,Latitude_WGS84,Author,ManufactYear,Material,Description,LocationPlace,Longitude_WGS84,Photo,geoData
0,881805531,1,«Древо сказок (дерево сказок)»,55.763149,['Скульптор Церетели Зураб Константинович'],1996.0,Металл,Скульптура с изображением животных и героев сказок,ГАУ «Московский зоопарк»,37.578302,0d8286ed-e040-4c66-9a14-2e180696e4bd,"{'type': 'Point', 'coordinates': [37.578302, 55.763149]}"
2,881805686,3,«Участникам московского декабрьского вооруженного восстания одна тысяча девятьсот пятого года»,55.738813,['Скульптор Владимир Глебов'],1957.0,Бронза,"Памятник представляет собой бронзовую скульптуру рабочего в полный рост, размещенную на бронзовой плите на гранитном постаменте.",ГАУК г. Москвы ПКиО «Перовский»,37.773086,96b75fe2-4d2d-4bc4-bea0-4af0e4a270e0,"{'type': 'Point', 'coordinates': [37.773086, 55.738813]}"
3,881805715,4,«Ямщику»,55.765565,['Скульптор Салават Щербаков'],2009.0,Бронза,"Бронзовая скульптура шагающего ямщика в левой руке держащем конскую сбрую, на правом плече перекинута дуга.","ГАУК г. Москвы ПКиО «Перовский», Зона отдыха «Терлецкая Дубрава»",37.814405,412e7c68-a259-4f87-8fb2-21a206b8ec87,"{'type': 'Point', 'coordinates': [37.814405, 55.765565]}"
4,881805742,5,«Военному инструктору с собакой»,55.765577,['Скульптор Салават Щербаков'],2009.0,Бронза,Памятник представляет собой бронзовые скульптуры присевшего на колено поводыря и овчарки. Именно здесь с 1924 года располагалась центральная военно-техническая школа служебного собаководства Красной Армии.,"ГАУК г. Москвы ПКиО «Перовский», Зона отдыха «Терлецкая Дубрава»",37.8214,21f3d141-e237-4bc1-ae7e-479f4eede68b,"{'type': 'Point', 'coordinates': [37.8214, 55.765577]}"
5,881824098,27,«Бюст с постаментом Виктора Гюго»,55.770236,['Скульптор Лоран Оноре Маркест'],1920.0,Бронза,"Памятник-бюст Виктору Гюго находится в саду «Эрмитаж», в непосредственной близости от театра «Сфера». Бюст расположен в западной части сада с двухтысячного года, является творением скульптора Лорана Маркеста. Памятник Виктора Гюго был подарен саду «Эрмитаж» мэрией Парижа. Бюст гениального французского поэта, прозаика и драматурга окружен живописной цветочной клумбой и является бесценным украшением самого романтичного сада Москвы.","ГАУК г. Москвы МГС «Эрмитаж», в теневой части сада рядом с детской площадкой",37.60817,5cabef54-8895-4fcf-a975-98567657d5e2,"{'type': 'Point', 'coordinates': [37.60817, 55.770236]}"
6,881824108,28,«Бюст с постаментом Данте Алигьери»,55.771046,['Скульптор Ринальдо Пирас'],,Естественный камень,"Памятник Данте Алигьери установлен в саду «Эрмитаж» в 2000 году и передан в дар Москве правительством Италии при участии общества имени Данте Алигьери. Этот бюст был выполнен итальянским скульптором Ринальдо Пирасом. Высеченная на памятнике цитата из «Божественной комедии» в переводе русского поэта Михаила Леонидовича Лозинского: «Он возжелал свободы столь бесценной, как знают все, кто жизнь ей отдает» стала посвящением самому Данте и его высоким стремлениям.","ГАУК г. Москвы МГС «Эрмитаж», у театра «Новая Опера» им. Е.В.Колобова",37.608552,d39e8ded-c2db-4210-b5b9-5ea0ce2ad0e5,"{'type': 'Point', 'coordinates': [37.608552, 55.771046]}"
7,881824114,29,«Бюст композитора П.И. Чайковского»,55.771191,['Предположительно скульптор Кирпичникова Татьяна Сергеевна'],,Мрамор,"Памятник-бюст П.И. Чайковского установлен в саду «Эрмитаж» в 2011 году и расположен около летней эстрады, в северной части сада. Белоснежный невысокий, памятник величайшего композитора выполнен из светло-серого мрамора с темными вкраплениями и покрыт несколькими слоями белой масляной краски.","ГАУК г. Москвы МГС «Эрмитаж», справа от летней эстрады",37.607766,8da22279-c962-471e-a900-ea81d31be2c6,"{'type': 'Point', 'coordinates': [37.607766, 55.771191]}"
8,881824122,30,«Бюст композитора М.И. Глинки»,55.771127,['Предположительно скульптор Гинцбург Илья Яковлевич'],,Мрамор,"Памятник-бюст М.И. Глинки установлен в саду «Эрмитаж» в 2011 году и расположен в северной части сада, неподалеку от летней эстрады. Памятник выполнен из светло-серого мрамора с темными вкраплениями и покрыт несколькими слоями белой масляной краски.","ГАУК г. Москвы МГС «Эрмитаж», слева от летней эстрады",37.607459,18496932-4c19-42f1-8061-b52627eb93d7,"{'type': 'Point', 'coordinates': [37.607459, 55.771127]}"
9,881824135,31,Памятник скульптура «Половецкая баба»,55.667065,['Неизвестный автор'],,Камень песчаник,Скульптура каменная «Половецкой бабы» из серого песчаника.,"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»",37.668338,14629c9b-7dc8-4d6d-aec7-df42b9fcec4e,"{'type': 'Point', 'coordinates': [37.668338, 55.667065]}"
10,881824143,32,Скульптура «Петр Первый»,55.667229,['Скульптор Франгулян Георгий Вартанович'],1998.0,Бронза,"Копия знаменитой скульптуры «Петр Первый», памятника «Петру Первому», установленного в центре Антверпена (Бельгия). Скульптура находится на территории парка во временном, безвозмездном пользовании.","Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»",37.667226,65f1c7b8-cbe0-4e34-b298-04d34910430b,"{'type': 'Point', 'coordinates': [37.667226, 55.667229]}"
11,881824147,33,Скульптура «Елизавета Петровна»,55.656284,['Скульптор Франгулян Георгий Вартанович'],2002.0,Бронза,"Авторская копия скульптуры «Царица Елизавета Петровна, дочь Петра Первого», установленного в 2003 году на самой крайней северо-западной точке нашей страны - в Балтийске. Елизавета как бы парит, повернув лицо к Европе, жестом руки указывая на Россию. Скульптура находится на территории парка во временном, безвозмездном пользовании.","Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»",37.655886,47fe1452-71b7-47a9-a21f-fc6d2106def1,"{'type': 'Point', 'coordinates': [37.655886, 55.656284]}"
12,881824150,34,«Скульптуры двух львиц»,55.668539,['Неизвестный автор'],2006.0,Белый камень,Воссозданные скульптуры львиц на террасе воссозданного фасада Павильона 1825 года XVII века.,"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»",37.671699,6cbc3a89-bafa-421c-a95e-2ec0a602b78c,"{'type': 'Point', 'coordinates': [37.671699, 55.668539]}"
13,881824153,35,Статуя «Диана»,55.670255,['Неизвестный автор'],,Бетон,Садово-парковая скульптура богини охоты и плодородия Дианы.,"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское»",37.669489,1118c794-22f8-4df9-8e1d-fbc6410fe4c5,"{'type': 'Point', 'coordinates': [37.669489, 55.670255]}"
14,881824156,36,Монументальный памятник «Пётр Первый»,55.79107,['Скульптор Кербель Лев Ефимович'],1998.0,Металл,Скульптура из металлического сплава на гранитном пьедестале.,"Московский государственный объединенный музей-заповедник (МГОМЗ), территория «Коломенское», территория «Измайлово»",37.763844,ce5ba351-c7b0-4544-b4b4-b7c9a0588a41,"{'type': 'Point', 'coordinates': [37.763844, 55.79107]}"
15,881824157,37,«Памятник-бюст Н.Э. Бауману»,55.767912,"['Скульптор Одиноко В Н, архитектор Климов В А']",1972.0,Гранит,"Бронзовый памятник-бюст пламенного революционера Николая Эрнестовича Баумана, погибшего в 1905 году, имя которого носит Сад.","ГАУК г. Москвы «Сад КиО им. Н.Э. Баумана», Главная аллея",37.659509,177e0624-846e-4ef0-a407-63a3ef6cd83e,"{'type': 'Point', 'coordinates': [37.659509, 55.767912]}"
16,881824160,38,«Семья»,55.812922,['Скульптор Согоян Фридрих Мкртичевич'],2014.0,Декоративный камень,"Образ молодой семьи, которую составляют собой две фигуры, отца и матери, бережно качающего на руках свое дитя.","ГАУК г. Москвы ПКиО «Лианозовский», парк «Гончаровский», со стороны улицы Руставели",37.588,63b1914e-70a6-4120-9149-a26323fd85d6,"{'type': 'Point', 'coordinates': [37.588, 55.812922]}"
17,881824169,39,«В.И. Ленин и электроплуг»,55.812922,['-'],1988.0,Бронза,"Гранитная композиция, напоминающая борозду.","ГАУК г. Москвы ПКиО «Лианозовский», парк «Гончаровский», со стороны улицы Руставели",37.588,ec4cd19f-1967-4fbf-97a8-08bcdaa26a61,"{'type': 'Point', 'coordinates': [37.588, 55.812922]}"
18,881824187,40,«Мемориал Великой Отечественной Войны»,55.818977,['-'],2000.0,Бетон,Мемориал был открыт в память о погибших на фронте жителях Тимирязевского района города Москвы.,"ГАУК г. Москвы ПКиО «Лианозовский», парк «Дубки», центральный вход",37.566963,01db1a9d-857f-4464-92a4-0b8375832652,"{'type': 'Point', 'coordinates': [37.566963, 55.818977]}"
22,881824224,45,Парковая скульптура «Минерва»,55.61171,['Скульптор Бурганов Александр Николаевич'],2007.0,Композитный материал,"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини мудрости в шлеме, в длинном хитоне и гиматие с лавровым венком в правой руке и со щитом с изображением головы медузы Горгоны в левой руке. У её ног сидит сова - символ мудрости.","ГБУК г. Москвы «ГМЗ «Царицыно», Центральная часть исторического пейзажного парка",37.685314,bb5285b1-fe41-48bf-abf1-ab05c8ab92a6,"{'type': 'Point', 'coordinates': [37.685314, 55.61171]}"
23,881824227,46,Парковая скульптура «Диана»,55.611872,['Скульптор Бурганов Александр Николаевич'],2007.0,Композитный материал,"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини охоты в коротком хитоне. За спиной богини колчан со стрелами. У её ног сидит гончая борзая.","ГБУК г. Москвы «ГМЗ «Царицыно», Центральная часть исторического пейзажного парка",37.683722,80951f2f-b5b7-405a-ad87-be87f79dab7e,"{'type': 'Point', 'coordinates': [37.683722, 55.611872]}"
24,881824230,47,Парковая скульптура «Флора»,55.60882,['Скульптор Бурганов Александр Николаевич'],2007.0,Композитный материал,"Скульптура, представляющая собой стоящую женскую фигуру древнеримской богини весны в длинном хитоне без рукавов, украшенном цветами.","ГБУК г. Москвы «ГМЗ «Царицыно», рядом с беседкой «Храм Цереры»",37.686434,32ad5fa3-fd0f-4ddf-890e-13636df6e7aa,"{'type': 'Point', 'coordinates': [37.686434, 55.60882]}"
